quadrant,box,grid_id,ternary_group
Q1,"(14273, 9880, 14497, 10104)",63_44,Non-Tumor
Q1,"(14273, 9656, 14497, 9880)",63_43,Non-Tumor
Q1,"(14273, 9432, 14497, 9656)",63_42,Non-Tumor
Q1,"(14273, 9208, 14497, 9432)",63_41,Non-Tumor
Q1,"(14273, 8984, 14497, 9208)",63_40,Non-Tumor
Q1,"(14273, 8760, 14497, 8984)",63_39,Non-Tumor
Q1,"(14273, 8536, 14497, 8760)",63_38,Non-Tumor
Q1,"(14273, 8312, 14497, 8536)",63_37,Non-Tumor
Q1,"(14273, 8088, 14497, 8312)",63_36,Non-Tumor
Q1,"(14273, 7864, 14497, 8088)",63_35,Non-Tumor
Q1,"(14273, 7640, 14497, 7864)",63_34,Non-Tumor
Q1,"(14273, 7416, 14497, 7640)",63_33,Non-Tumor
Q1,"(14273, 7192, 14497, 7416)",63_32,Empty
Q1,"(14273, 6968, 14497, 7192)",63_31,Empty
Q1,"(14273, 6744, 14497, 6968)",63_30,Non-Tumor
Q1,"(14049, 11896, 14273, 12120)",62_53,Non-Tumor
Q1,"(14049, 11672, 14273, 11896)",62_52,Non-Tumor
Q1,"(14049, 11448, 14273, 11672)",62_51,Non-Tumor
Q1,"(14049, 11224, 14273, 11448)",62_50,Non-Tumor
Q1,"(14049, 11000, 14273, 11224)",62_49,Non-Tumor
Q1,"(14049, 10776, 14273, 11000)",62_48,Non-Tumor
Q1,"(14049, 10552, 14273, 10776)",62_47,Non-Tumor
Q1,"(14049, 10328, 14273, 10552)",62_46,Non-Tumor
Q1,"(14049, 10104, 14273, 10328)",62_45,Non-Tumor
Q1,"(14049, 9880, 14273, 10104)",62_44,Non-Tumor
Q1,"(14049, 9656, 14273, 9880)",62_43,Non-Tumor
Q1,"(14049, 9432, 14273, 9656)",62_42,Non-Tumor
Q1,"(14049, 9208, 14273, 9432)",62_41,Empty
Q1,"(14049, 8984, 14273, 9208)",62_40,Non-Tumor
Q1,"(14049, 8760, 14273, 8984)",62_39,Non-Tumor
Q1,"(14049, 8536, 14273, 8760)",62_38,Non-Tumor
Q1,"(14049, 8312, 14273, 8536)",62_37,Non-Tumor
Q1,"(14049, 8088, 14273, 8312)",62_36,Non-Tumor
Q1,"(14049, 7864, 14273, 8088)",62_35,Empty
Q1,"(14049, 7640, 14273, 7864)",62_34,Non-Tumor
Q1,"(14049, 7416, 14273, 7640)",62_33,Non-Tumor
Q1,"(14049, 7192, 14273, 7416)",62_32,Non-Tumor
Q1,"(14049, 6968, 14273, 7192)",62_31,Non-Tumor
Q1,"(14049, 6744, 14273, 6968)",62_30,Non-Tumor
Q1,"(13825, 11896, 14049, 12120)",61_53,Non-Tumor
Q1,"(13825, 11672, 14049, 11896)",61_52,Non-Tumor
Q1,"(13825, 11448, 14049, 11672)",61_51,Non-Tumor
Q1,"(13825, 11224, 14049, 11448)",61_50,Non-Tumor
Q1,"(13825, 11000, 14049, 11224)",61_49,Non-Tumor
Q1,"(13825, 10776, 14049, 11000)",61_48,Non-Tumor
Q1,"(13825, 10552, 14049, 10776)",61_47,Non-Tumor
Q1,"(13825, 10328, 14049, 10552)",61_46,Non-Tumor
Q1,"(13825, 10104, 14049, 10328)",61_45,Non-Tumor
Q1,"(13825, 9880, 14049, 10104)",61_44,Empty
Q1,"(13825, 9432, 14049, 9656)",61_42,Non-Tumor
Q1,"(13825, 9208, 14049, 9432)",61_41,Non-Tumor
Q1,"(13825, 8984, 14049, 9208)",61_40,Non-Tumor
Q1,"(13825, 8760, 14049, 8984)",61_39,Non-Tumor
Q1,"(13825, 8536, 14049, 8760)",61_38,Non-Tumor
Q1,"(13825, 8312, 14049, 8536)",61_37,Non-Tumor
Q1,"(13825, 8088, 14049, 8312)",61_36,Non-Tumor
Q1,"(13825, 7864, 14049, 8088)",61_35,Empty
Q1,"(13825, 7640, 14049, 7864)",61_34,Non-Tumor
Q1,"(13825, 7416, 14049, 7640)",61_33,Non-Tumor
Q1,"(13825, 7192, 14049, 7416)",61_32,Non-Tumor
Q1,"(13825, 6968, 14049, 7192)",61_31,Non-Tumor
Q1,"(13825, 6744, 14049, 6968)",61_30,Non-Tumor
Q1,"(13601, 11896, 13825, 12120)",60_53,Non-Tumor
Q1,"(13601, 11672, 13825, 11896)",60_52,Non-Tumor
Q1,"(13601, 11448, 13825, 11672)",60_51,Non-Tumor
Q1,"(13601, 11224, 13825, 11448)",60_50,Non-Tumor
Q1,"(13601, 11000, 13825, 11224)",60_49,Non-Tumor
Q1,"(13601, 10776, 13825, 11000)",60_48,Non-Tumor
Q1,"(13601, 10552, 13825, 10776)",60_47,Non-Tumor
Q1,"(13601, 10328, 13825, 10552)",60_46,Non-Tumor
Q1,"(13601, 10104, 13825, 10328)",60_45,Non-Tumor
Q1,"(13601, 9880, 13825, 10104)",60_44,Non-Tumor
Q1,"(13601, 9656, 13825, 9880)",60_43,Non-Tumor
Q1,"(13601, 9432, 13825, 9656)",60_42,Non-Tumor
Q1,"(13601, 9208, 13825, 9432)",60_41,Non-Tumor
Q1,"(13601, 8984, 13825, 9208)",60_40,Non-Tumor
Q1,"(13601, 8760, 13825, 8984)",60_39,Non-Tumor
Q1,"(13601, 8536, 13825, 8760)",60_38,Non-Tumor
Q1,"(13601, 8312, 13825, 8536)",60_37,Non-Tumor
Q1,"(13601, 8088, 13825, 8312)",60_36,Non-Tumor
Q1,"(13601, 7864, 13825, 8088)",60_35,Non-Tumor
Q1,"(13601, 7640, 13825, 7864)",60_34,Non-Tumor
Q1,"(13601, 7416, 13825, 7640)",60_33,Empty
Q1,"(13601, 7192, 13825, 7416)",60_32,Non-Tumor
Q1,"(13601, 6968, 13825, 7192)",60_31,Empty
Q1,"(13601, 6744, 13825, 6968)",60_30,Non-Tumor
Q1,"(13377, 11896, 13601, 12120)",59_53,Non-Tumor
Q1,"(13377, 11672, 13601, 11896)",59_52,Non-Tumor
Q1,"(13377, 11448, 13601, 11672)",59_51,Non-Tumor
Q1,"(13377, 11224, 13601, 11448)",59_50,Non-Tumor
Q1,"(13377, 11000, 13601, 11224)",59_49,Non-Tumor
Q1,"(13377, 10776, 13601, 11000)",59_48,Non-Tumor
Q1,"(13377, 10552, 13601, 10776)",59_47,Non-Tumor
Q1,"(13377, 10328, 13601, 10552)",59_46,Non-Tumor
Q1,"(13377, 10104, 13601, 10328)",59_45,Non-Tumor
Q1,"(13377, 9880, 13601, 10104)",59_44,Non-Tumor
Q1,"(13377, 9656, 13601, 9880)",59_43,Non-Tumor
Q1,"(13377, 9432, 13601, 9656)",59_42,Empty
Q1,"(13377, 9208, 13601, 9432)",59_41,Non-Tumor
Q1,"(13377, 8984, 13601, 9208)",59_40,Non-Tumor
Q1,"(13377, 8760, 13601, 8984)",59_39,Non-Tumor
Q1,"(13377, 8536, 13601, 8760)",59_38,Non-Tumor
Q1,"(13377, 8312, 13601, 8536)",59_37,Non-Tumor
Q1,"(13377, 8088, 13601, 8312)",59_36,Empty
Q1,"(13377, 7864, 13601, 8088)",59_35,Non-Tumor
Q1,"(13377, 7640, 13601, 7864)",59_34,Non-Tumor
Q1,"(13377, 7416, 13601, 7640)",59_33,Non-Tumor
Q1,"(13377, 6968, 13601, 7192)",59_31,Non-Tumor
Q1,"(13377, 6744, 13601, 6968)",59_30,Non-Tumor
Q1,"(13153, 11896, 13377, 12120)",58_53,Non-Tumor
Q1,"(13153, 11672, 13377, 11896)",58_52,Non-Tumor
Q1,"(13153, 11448, 13377, 11672)",58_51,Non-Tumor
Q1,"(13153, 11224, 13377, 11448)",58_50,Non-Tumor
Q1,"(13153, 11000, 13377, 11224)",58_49,Non-Tumor
Q1,"(13153, 10776, 13377, 11000)",58_48,Non-Tumor
Q1,"(13153, 10552, 13377, 10776)",58_47,Non-Tumor
Q1,"(13153, 10328, 13377, 10552)",58_46,Non-Tumor
Q1,"(13153, 10104, 13377, 10328)",58_45,Empty
Q1,"(13153, 9880, 13377, 10104)",58_44,Non-Tumor
Q1,"(13153, 9656, 13377, 9880)",58_43,Non-Tumor
Q1,"(13153, 9432, 13377, 9656)",58_42,Empty
Q1,"(13153, 9208, 13377, 9432)",58_41,Non-Tumor
Q1,"(13153, 8984, 13377, 9208)",58_40,Non-Tumor
Q1,"(13153, 8760, 13377, 8984)",58_39,Non-Tumor
Q1,"(13153, 8536, 13377, 8760)",58_38,Non-Tumor
Q1,"(13153, 8312, 13377, 8536)",58_37,Non-Tumor
Q1,"(13153, 8088, 13377, 8312)",58_36,Non-Tumor
Q1,"(13153, 7864, 13377, 8088)",58_35,Empty
Q1,"(13153, 7640, 13377, 7864)",58_34,Non-Tumor
Q1,"(13153, 7416, 13377, 7640)",58_33,Non-Tumor
Q1,"(13153, 7192, 13377, 7416)",58_32,Non-Tumor
Q1,"(13153, 6968, 13377, 7192)",58_31,Non-Tumor
Q1,"(13153, 6744, 13377, 6968)",58_30,Non-Tumor
Q1,"(12929, 11896, 13153, 12120)",57_53,Non-Tumor
Q1,"(12929, 11672, 13153, 11896)",57_52,Non-Tumor
Q1,"(12929, 11448, 13153, 11672)",57_51,Non-Tumor
Q1,"(12929, 11224, 13153, 11448)",57_50,Non-Tumor
Q1,"(12929, 11000, 13153, 11224)",57_49,Non-Tumor
Q1,"(12929, 10776, 13153, 11000)",57_48,Non-Tumor
Q1,"(12929, 10552, 13153, 10776)",57_47,Non-Tumor
Q1,"(12929, 10328, 13153, 10552)",57_46,Non-Tumor
Q1,"(12929, 10104, 13153, 10328)",57_45,Non-Tumor
Q1,"(12929, 9880, 13153, 10104)",57_44,Non-Tumor
Q1,"(12929, 9656, 13153, 9880)",57_43,Non-Tumor
Q1,"(12929, 9432, 13153, 9656)",57_42,Empty
Q1,"(12929, 9208, 13153, 9432)",57_41,Non-Tumor
Q1,"(12929, 8984, 13153, 9208)",57_40,Non-Tumor
Q1,"(12929, 8760, 13153, 8984)",57_39,Non-Tumor
Q1,"(12929, 8536, 13153, 8760)",57_38,Non-Tumor
Q1,"(12929, 8312, 13153, 8536)",57_37,Non-Tumor
Q1,"(12929, 8088, 13153, 8312)",57_36,Non-Tumor
Q1,"(12929, 7864, 13153, 8088)",57_35,Non-Tumor
Q1,"(12929, 7640, 13153, 7864)",57_34,Non-Tumor
Q1,"(12929, 7416, 13153, 7640)",57_33,Non-Tumor
Q1,"(12929, 7192, 13153, 7416)",57_32,Tumor
Q1,"(12929, 6968, 13153, 7192)",57_31,Tumor
Q1,"(12929, 6744, 13153, 6968)",57_30,Non-Tumor
Q1,"(12705, 11896, 12929, 12120)",56_53,Non-Tumor
Q1,"(12705, 11672, 12929, 11896)",56_52,Non-Tumor
Q1,"(12705, 11448, 12929, 11672)",56_51,Non-Tumor
Q1,"(12705, 11224, 12929, 11448)",56_50,Non-Tumor
Q1,"(12705, 11000, 12929, 11224)",56_49,Non-Tumor
Q1,"(12705, 10776, 12929, 11000)",56_48,Non-Tumor
Q1,"(12705, 10552, 12929, 10776)",56_47,Non-Tumor
Q1,"(12705, 10328, 12929, 10552)",56_46,Non-Tumor
Q1,"(12705, 10104, 12929, 10328)",56_45,Non-Tumor
Q1,"(12705, 9880, 12929, 10104)",56_44,Non-Tumor
Q1,"(12705, 9656, 12929, 9880)",56_43,Non-Tumor
Q1,"(12705, 9432, 12929, 9656)",56_42,Empty
Q1,"(12705, 9208, 12929, 9432)",56_41,Non-Tumor
Q1,"(12705, 8984, 12929, 9208)",56_40,Non-Tumor
Q1,"(12705, 8760, 12929, 8984)",56_39,Non-Tumor
Q1,"(12705, 8536, 12929, 8760)",56_38,Non-Tumor
Q1,"(12705, 8312, 12929, 8536)",56_37,Non-Tumor
Q1,"(12705, 8088, 12929, 8312)",56_36,Non-Tumor
Q1,"(12705, 7864, 12929, 8088)",56_35,Non-Tumor
Q1,"(12705, 7640, 12929, 7864)",56_34,Non-Tumor
Q1,"(12705, 7416, 12929, 7640)",56_33,Tumor
Q1,"(12705, 7192, 12929, 7416)",56_32,Tumor
Q1,"(12705, 6968, 12929, 7192)",56_31,Tumor
Q1,"(12705, 6744, 12929, 6968)",56_30,Non-Tumor
Q1,"(12481, 11896, 12705, 12120)",55_53,Non-Tumor
Q1,"(12481, 11672, 12705, 11896)",55_52,Non-Tumor
Q1,"(12481, 11448, 12705, 11672)",55_51,Empty
Q1,"(12481, 11224, 12705, 11448)",55_50,Non-Tumor
Q1,"(12481, 11000, 12705, 11224)",55_49,Non-Tumor
Q1,"(12481, 10776, 12705, 11000)",55_48,Non-Tumor
Q1,"(12481, 10552, 12705, 10776)",55_47,Non-Tumor
Q1,"(12481, 10328, 12705, 10552)",55_46,Non-Tumor
Q1,"(12481, 10104, 12705, 10328)",55_45,Non-Tumor
Q1,"(12481, 9880, 12705, 10104)",55_44,Non-Tumor
Q1,"(12481, 9656, 12705, 9880)",55_43,Non-Tumor
Q1,"(12481, 9432, 12705, 9656)",55_42,Non-Tumor
Q1,"(12481, 9208, 12705, 9432)",55_41,Non-Tumor
Q1,"(12481, 8984, 12705, 9208)",55_40,Non-Tumor
Q1,"(12481, 8760, 12705, 8984)",55_39,Non-Tumor
Q1,"(12481, 8536, 12705, 8760)",55_38,Non-Tumor
Q1,"(12481, 8312, 12705, 8536)",55_37,Non-Tumor
Q1,"(12481, 8088, 12705, 8312)",55_36,Non-Tumor
Q1,"(12481, 7864, 12705, 8088)",55_35,Non-Tumor
Q1,"(12481, 7640, 12705, 7864)",55_34,Non-Tumor
Q1,"(12481, 7416, 12705, 7640)",55_33,Tumor
Q1,"(12481, 7192, 12705, 7416)",55_32,Non-Tumor
Q1,"(12481, 6968, 12705, 7192)",55_31,Non-Tumor
Q1,"(12481, 6744, 12705, 6968)",55_30,Non-Tumor
Q1,"(12257, 11896, 12481, 12120)",54_53,Non-Tumor
Q1,"(12257, 11672, 12481, 11896)",54_52,Non-Tumor
Q1,"(12257, 11448, 12481, 11672)",54_51,Non-Tumor
Q1,"(12257, 11224, 12481, 11448)",54_50,Non-Tumor
Q1,"(12257, 11000, 12481, 11224)",54_49,Non-Tumor
Q1,"(12257, 10776, 12481, 11000)",54_48,Non-Tumor
Q1,"(12257, 10552, 12481, 10776)",54_47,Non-Tumor
Q1,"(12257, 10328, 12481, 10552)",54_46,Non-Tumor
Q1,"(12257, 10104, 12481, 10328)",54_45,Non-Tumor
Q1,"(12257, 9880, 12481, 10104)",54_44,Non-Tumor
Q1,"(12257, 9656, 12481, 9880)",54_43,Non-Tumor
Q1,"(12257, 9432, 12481, 9656)",54_42,Empty
Q1,"(12257, 9208, 12481, 9432)",54_41,Non-Tumor
Q1,"(12257, 8984, 12481, 9208)",54_40,Non-Tumor
Q1,"(12257, 8760, 12481, 8984)",54_39,Empty
Q1,"(12257, 8536, 12481, 8760)",54_38,Non-Tumor
Q1,"(12257, 8312, 12481, 8536)",54_37,Non-Tumor
Q1,"(12257, 8088, 12481, 8312)",54_36,Non-Tumor
Q1,"(12257, 7864, 12481, 8088)",54_35,Non-Tumor
Q1,"(12257, 7640, 12481, 7864)",54_34,Non-Tumor
Q1,"(12257, 7416, 12481, 7640)",54_33,Non-Tumor
Q1,"(12257, 7192, 12481, 7416)",54_32,Non-Tumor
Q1,"(12257, 6968, 12481, 7192)",54_31,Non-Tumor
Q1,"(12257, 6744, 12481, 6968)",54_30,Non-Tumor
Q1,"(12033, 11896, 12257, 12120)",53_53,Non-Tumor
Q1,"(12033, 11672, 12257, 11896)",53_52,Non-Tumor
Q1,"(12033, 11448, 12257, 11672)",53_51,Non-Tumor
Q1,"(12033, 11224, 12257, 11448)",53_50,Non-Tumor
Q1,"(12033, 11000, 12257, 11224)",53_49,Non-Tumor
Q1,"(12033, 10776, 12257, 11000)",53_48,Non-Tumor
Q1,"(12033, 10552, 12257, 10776)",53_47,Non-Tumor
Q1,"(12033, 10328, 12257, 10552)",53_46,Empty
Q1,"(12033, 10104, 12257, 10328)",53_45,Non-Tumor
Q1,"(12033, 9880, 12257, 10104)",53_44,Non-Tumor
Q1,"(12033, 9656, 12257, 9880)",53_43,Non-Tumor
Q1,"(12033, 9432, 12257, 9656)",53_42,Non-Tumor
Q1,"(12033, 9208, 12257, 9432)",53_41,Non-Tumor
Q1,"(12033, 8984, 12257, 9208)",53_40,Non-Tumor
Q1,"(12033, 8760, 12257, 8984)",53_39,Non-Tumor
Q1,"(12033, 8536, 12257, 8760)",53_38,Non-Tumor
Q1,"(12033, 8312, 12257, 8536)",53_37,Non-Tumor
Q1,"(12033, 8088, 12257, 8312)",53_36,Non-Tumor
Q1,"(12033, 7864, 12257, 8088)",53_35,Non-Tumor
Q1,"(12033, 7640, 12257, 7864)",53_34,Non-Tumor
Q1,"(12033, 7416, 12257, 7640)",53_33,Non-Tumor
Q1,"(12033, 7192, 12257, 7416)",53_32,Non-Tumor
Q1,"(12033, 6968, 12257, 7192)",53_31,Non-Tumor
Q1,"(12033, 6744, 12257, 6968)",53_30,Empty
Q1,"(11809, 11896, 12033, 12120)",52_53,Non-Tumor
Q1,"(11809, 11672, 12033, 11896)",52_52,Non-Tumor
Q1,"(11809, 11448, 12033, 11672)",52_51,Non-Tumor
Q1,"(11809, 11224, 12033, 11448)",52_50,Non-Tumor
Q1,"(11809, 11000, 12033, 11224)",52_49,Non-Tumor
Q1,"(11809, 10776, 12033, 11000)",52_48,Non-Tumor
Q1,"(11809, 10552, 12033, 10776)",52_47,Non-Tumor
Q1,"(11809, 10328, 12033, 10552)",52_46,Non-Tumor
Q1,"(11809, 10104, 12033, 10328)",52_45,Non-Tumor
Q1,"(11809, 9880, 12033, 10104)",52_44,Non-Tumor
Q1,"(11809, 9656, 12033, 9880)",52_43,Non-Tumor
Q1,"(11809, 9432, 12033, 9656)",52_42,Non-Tumor
Q1,"(11809, 9208, 12033, 9432)",52_41,Non-Tumor
Q1,"(11809, 8984, 12033, 9208)",52_40,Non-Tumor
Q1,"(11809, 8760, 12033, 8984)",52_39,Non-Tumor
Q1,"(11809, 8536, 12033, 8760)",52_38,Non-Tumor
Q1,"(11809, 8312, 12033, 8536)",52_37,Non-Tumor
Q1,"(11809, 8088, 12033, 8312)",52_36,Empty
Q1,"(11809, 7864, 12033, 8088)",52_35,Non-Tumor
Q1,"(11809, 7640, 12033, 7864)",52_34,Non-Tumor
Q1,"(11809, 7416, 12033, 7640)",52_33,Non-Tumor
Q1,"(11809, 7192, 12033, 7416)",52_32,Non-Tumor
Q1,"(11809, 6968, 12033, 7192)",52_31,Non-Tumor
Q1,"(11809, 6744, 12033, 6968)",52_30,Non-Tumor
Q1,"(11585, 11896, 11809, 12120)",51_53,Non-Tumor
Q1,"(11585, 11672, 11809, 11896)",51_52,Non-Tumor
Q1,"(11585, 11448, 11809, 11672)",51_51,Non-Tumor
Q1,"(11585, 11224, 11809, 11448)",51_50,Non-Tumor
Q1,"(11585, 11000, 11809, 11224)",51_49,Non-Tumor
Q1,"(11585, 10776, 11809, 11000)",51_48,Empty
Q1,"(11585, 10552, 11809, 10776)",51_47,Non-Tumor
Q1,"(11585, 10328, 11809, 10552)",51_46,Non-Tumor
Q1,"(11585, 10104, 11809, 10328)",51_45,Non-Tumor
Q1,"(11585, 9880, 11809, 10104)",51_44,Non-Tumor
Q1,"(11585, 9656, 11809, 9880)",51_43,Non-Tumor
Q1,"(11585, 9432, 11809, 9656)",51_42,Non-Tumor
Q1,"(11585, 9208, 11809, 9432)",51_41,Empty
Q1,"(11585, 8984, 11809, 9208)",51_40,Non-Tumor
Q1,"(11585, 8760, 11809, 8984)",51_39,Empty
Q1,"(11585, 8536, 11809, 8760)",51_38,Non-Tumor
Q1,"(11585, 8312, 11809, 8536)",51_37,Empty
Q1,"(11585, 8088, 11809, 8312)",51_36,Non-Tumor
Q1,"(11585, 7864, 11809, 8088)",51_35,Non-Tumor
Q1,"(11585, 7640, 11809, 7864)",51_34,Non-Tumor
Q1,"(11585, 7416, 11809, 7640)",51_33,Non-Tumor
Q1,"(11585, 7192, 11809, 7416)",51_32,Non-Tumor
Q1,"(11585, 6968, 11809, 7192)",51_31,Non-Tumor
Q1,"(11585, 6744, 11809, 6968)",51_30,Non-Tumor
Q1,"(11361, 11896, 11585, 12120)",50_53,Non-Tumor
Q1,"(11361, 11672, 11585, 11896)",50_52,Non-Tumor
Q1,"(11361, 11448, 11585, 11672)",50_51,Non-Tumor
Q1,"(11361, 11224, 11585, 11448)",50_50,Non-Tumor
Q1,"(11361, 11000, 11585, 11224)",50_49,Non-Tumor
Q1,"(11361, 10776, 11585, 11000)",50_48,Non-Tumor
Q1,"(11361, 10552, 11585, 10776)",50_47,Non-Tumor
Q1,"(11361, 10328, 11585, 10552)",50_46,Non-Tumor
Q1,"(11361, 10104, 11585, 10328)",50_45,Non-Tumor
